brand,sku,price_positioning,offer_price,regular_price,basket_price,discount_price
neous,1129456.5,25.390234765234766,353.625,453.75,354.875,100.125
nicholas,1163326.3333333333,16.666666666666668,178.22500000000002,472.4383333333333,182.39166666666668,294.21333333333337
nicholas kirkwood,1142011.8421052631,26.508796052508085,357.8157894736842,585.5263157894736,358.07894736842104,227.71052631578948
nike,1147930.705882353,7.84313725490196,67.26411764705882,123.32058823529411,72.26411764705882,56.0564705882353
nili lotan,1153800.6666666667,38.799396809290265,771.5,922.7777777777778,771.5,151.27777777777777
ninety percent,1189081.0,0.0,78.74,78.74,83.74,0.0
noir kei ninomiya,1180156.0,0.0,260.0,520.0,260.0,260.0
norma kamali,1154108.7,49.819021948402,198.66199999999998,221.78199999999998,202.162,23.119999999999997
off-white,1165952.0277777778,14.798391752929339,416.9166666666667,648.8194444444445,418.30555555555554,231.90277777777777
olivia von halle,1158931.3333333333,0.0,334.3333333333333,334.3333333333333,334.3333333333333,0.0
omorovicza,1156588.0,0.0,20.0,20.0,25.0,0.0
oscar de la renta,1159082.0,37.296510608835874,1768.0849999999998,4163.11,1768.3349999999998,2395.025
p.e nation,1139984.0,0.0,94.5,94.5,99.5,0.0
paco rabanne,1168604.5925925926,18.800338118668385,551.1296296296297,794.425925925926,551.6851851851852,243.2962962962963
palm angels,1167164.25,25.0,200.5,286.75,204.25,86.25
palmer//harding,1185995.3333333333,33.333333333333336,358.1666666666667,533.3333333333334,359.8333333333333,175.16666666666666
patbo,1154651.625,0.0,178.9925,379.80999999999995,181.4925,200.8175
paul & joe,1171106.0,0.0,254.0,507.5,254.0,253.5
persée,1168354.0,0.0,506.0,506.0,506.0,0.0
petar petrov,1184278.142857143,0.0,339.64285714285717,727.5714285714286,340.35714285714283,387.92857142857144
peter pilotto,1169355.9090909092,44.618027201160345,958.4090909090909,1003.6363636363636,958.4090909090909,45.22727272727273
philosophy di lorenzo serafini,1173183.6666666667,33.333333333333336,384.0833333333333,615.0,384.9166666666667,230.91666666666666
pippa holt,1118028.5,0.0,527.5,527.5,527.5,0.0
pomellato,1164099.5,0.0,1665.0,1665.0,1665.0,0.0
prada,1126679.4584980237,43.84963446597045,923.3399209486166,923.3399209486166,923.4189723320158,0.0
preen by thornton bregazzi,1161857.3333333333,0.0,208.16666666666666,618.3333333333334,209.83333333333334,410.1666666666667
preen line,1152303.0,0.0,270.0,450.0,270.0,180.0
proenza schouler,1157219.0,28.413253413253415,444.9030769230769,806.5769230769231,445.47999999999996,361.67384615384617
pushbutton,1168488.0,52.21166241769422,388.70000000000005,420.4333333333334,389.53333333333336,31.733333333333334
r13,1170865.6363636365,24.735867873090044,625.1818181818181,625.1818181818181,625.6363636363636,0.0
racil,1165562.0,36.7816091954023,315.6666666666667,552.3333333333334,317.3333333333333,236.66666666666666
rag & bone,1153963.0,26.02562484221156,280.79411764705884,346.1470588235294,282.2647058823529,65.3529411764706
raquel diniz,1183763.0,100.0,594.0,990.0,594.0,396.0
rasario,1169982.8,50.74441687344913,1176.0,1176.0,1176.0,0.0
ratio et motus,1185225.0,0.0,534.0,534.0,534.0,0.0
re/done,1169561.5882352942,28.84479092841956,216.20000000000002,266.52941176470586,219.43529411764706,50.329411764705874
rebecca de ravenel,1171147.6666666667,0.0,524.1633333333333,1315.0,524.1633333333333,790.8366666666667
rebecca vallance,1170195.0,25.0,301.0,321.25,302.25,20.25
redemption,1183987.5,100.0,1190.0,1190.0,1190.0,0.0
redvalentino,1158070.25,49.55035971223022,432.0,559.9375,432.625,127.9375
reebok x victoria beckham,1180949.4,41.62162162162163,156.2,223.4,161.2,67.2
reformation,1191507.6666666667,33.333333333333336,150.5,238.33333333333334,155.5,87.83333333333333
rejina pyo,1177857.2222222222,22.22222222222222,312.0833333333333,537.6944444444445,312.9166666666667,225.61111111111111
rené caovilla,1101390.375,12.5,775.0,801.25,775.0,26.25
repossi,1187703.0,0.0,1725.0,1725.0,1725.0,0.0
retrofête,1165046.0,66.66666666666667,558.8333333333334,618.3333333333334,558.8333333333334,59.5
rhode,1162105.1666666667,50.0,219.66666666666666,288.3333333333333,222.16666666666666,68.66666666666667
rick owens,1153716.6363636365,9.994251457666092,840.2727272727273,1282.8636363636363,840.2727272727273,442.59090909090907
rixo,1166959.4545454546,9.090909090909092,122.13636363636364,226.6818181818182,126.22727272727273,104.54545454545455
roger vivier,1132372.2307692308,30.76923076923077,596.1153846153846,622.8846153846154,596.1153846153846,26.76923076923077
rokh,1177072.8,0.0,333.2,594.5,334.2,261.3
roksanda,1165294.1333333333,37.015107502035605,861.0,998.0,861.3333333333334,137.0
roland mouret,1170629.875,12.5,539.75,1343.125,539.75,803.375
rosantica,1183905.0,0.0,855.0,855.0,855.0,0.0
rosetta getty,1153952.7777777778,33.333333333333336,503.6111111111111,572.2222222222222,504.1666666666667,68.61111111111111
rosie assoulin,1178842.7272727273,26.503496503496503,702.9118181818183,1150.4545454545455,702.9118181818183,447.5427272727273
rotate birger christensen,1167094.111111111,21.405228758169937,166.5,277.1666666666667,169.83333333333334,110.66666666666667
rta,1161496.5555555555,22.22222222222222,300.22222222222223,603.3333333333334,301.3333333333333,303.1111111111111
runway marc jacobs,1181115.0,100.0,595.5,1055.0,595.5,459.5
rupert sanderson,1137191.6666666667,54.14312617702448,415.0,465.0,415.0,50.0
sacai,1167890.4090909092,11.455550022174032,756.8863636363636,1109.2045454545455,756.8863636363636,352.3181818181818
saint laurent,1143804.4047619049,20.40775401269993,849.2266666666667,1064.329365079365,849.4250793650793,215.1026984126984
saks potts,1180822.0,0.0,1338.0,1338.0,1338.0,0.0
